date,city,pm25,pm10,no2,co,o3,temperature,humidity,wind_speed,aqi,aqi_category
2025-01-01,Delhi,469,943.3,159.4,5.85,15.1,7.3,95,2.3,500,Severe
2025-01-01,Noida,386.8,688.6,114.1,5.74,12.8,8.5,96,3.2,500,Severe
2025-01-01,Gurugram,362.1,700.8,124.2,5.74,17.3,7.5,98,4,500,Severe
2025-01-01,Faridabad,344.5,672.2,121.1,5.88,15.7,7.5,100,3.5,500,Severe
2025-01-01,Ghaziabad,313.7,597.2,104.6,4.18,17.9,6.3,100,3.9,500,Severe
2025-01-02,Delhi,339.7,680.5,130.1,5.68,14.8,7.8,98,4,500,Severe
2025-01-02,Noida,254.9,408.7,78.4,4.01,27.6,8.8,100,4.2,404,Severe
2025-01-02,Gurugram,254.3,533.7,97.7,4.52,27.7,7.9,100,2.9,500,Severe
2025-01-02,Faridabad,408.4,856.7,134.8,6.15,17,8.2,95,2.5,500,Severe
2025-01-02,Ghaziabad,293.8,617.9,98.4,3.74,27.5,9.6,100,2.9,500,Severe
2025-01-03,Delhi,386.2,653.8,158,5.86,16.7,6.3,100,3.5,500,Severe
2025-01-03,Noida,340.4,635.7,129.1,5.71,16.7,8,100,3.4,500,Severe
2025-01-03,Gurugram,312.7,518.8,121.6,3.79,18,9.7,95,3.1,500,Severe
2025-01-03,Faridabad,321.3,608.1,97.4,4.67,17.6,6.9,100,3.2,500,Severe
2025-01-03,Ghaziabad,338.1,566,138.8,5.31,17.6,7.4,100,3.8,500,Severe
2025-01-04,Delhi,361.1,669,110,4.8,14.7,6.7,100,2.3,500,Severe
2025-01-04,Noida,254.7,444.8,105.1,3.69,24.1,8,100,3.5,418,Severe
2025-01-04,Gurugram,301.3,546.1,91.6,4.27,14.5,9.7,100,2.2,500,Severe
2025-01-04,Faridabad,293.5,473.3,101.4,4.43,23.1,7.1,100,3.6,454,Severe
2025-01-04,Ghaziabad,263.3,506.2,106.4,4.59,20.2,9.2,100,2.7,495,Severe
2025-01-05,Delhi,237.6,415.9,68,3.26,20.7,8.2,100,3.3,390,Very Poor
2025-01-05,Noida,236.1,442.9,72.2,3.14,23.3,9.9,98,2.8,416,Severe
2025-01-05,Gurugram,227.5,489,90.5,3.83,22.7,6.4,100,3.6,474,Severe
2025-01-05,Faridabad,322.4,699,109.9,4.05,16.2,6.4,100,4.1,500,Severe
2025-01-05,Ghaziabad,360.2,626.9,146.8,5.48,17.7,9.4,100,2.8,500,Severe
2025-01-06,Delhi,333.9,605.6,102.3,4.79,17.7,8.2,97,3.2,500,Severe
2025-01-06,Noida,294.4,543.8,115.8,4.81,26.3,7.9,99,3.1,500,Severe
2025-01-06,Gurugram,360.4,750.3,130.3,5.56,17.6,8.7,100,2.4,500,Severe
2025-01-06,Faridabad,303.7,588.5,85.5,5.02,15.7,9.9,100,3.1,500,Severe
2025-01-06,Ghaziabad,287.5,628,86.5,3.64,24.8,6.5,100,4.2,500,Severe
2025-01-07,Delhi,344,610.6,124.4,5.39,17.3,9.6,100,3.4,500,Severe
2025-01-07,Noida,287.8,512.1,98.4,4.22,22.4,7.9,100,4.1,500,Severe
2025-01-07,Gurugram,329.8,588,130.5,5,16.8,7.9,100,3.9,500,Severe
2025-01-07,Faridabad,380.7,819.6,110.5,4.68,16.9,8.3,97,2.7,500,Severe
2025-01-07,Ghaziabad,383.8,638.2,150.2,6.17,16.7,7.6,99,4.1,500,Severe
2025-01-08,Delhi,325.7,536.5,127.4,5.24,16.6,6.3,100,2.8,500,Severe
2025-01-08,Noida,274.6,527.3,81.1,4.44,27.5,6.7,100,2.5,500,Severe
2025-01-08,Gurugram,253.5,493.5,84.7,4.28,24,9.9,100,3.7,479,Severe
2025-01-08,Faridabad,364.2,671.7,124.3,6.2,15.2,7.5,100,2.7,500,Severe
